period,mode,alpha,sigma,alpha_market,alpha_err,mse,improvement_pct,n_buy,n_sell,signal_strength,avg_buy_dev,avg_sell_dev
11,Smile,0.815412,0.186751,0.8498400096272073,0.03442800962720727,3.287e-05,57.044,8,10,18,5.661314879580515,-7.810056422241919
12,ET(旧),0.90287,0.207078,0.9489534190262544,0.04608341902625446,2.218e-05,30.963,8,7,15,6.307921771421581,-6.548983241138494
12,G-H,0.90769,0.209778,0.9489534190262544,0.04126341902625441,2.228e-05,30.643,9,6,15,6.945753367455227,-5.721635551279739
12,Smile,0.91453,0.211385,0.9489534190262544,0.034423419026254454,2.114e-05,34.19,8,9,17,5.878488628107608,-5.461991909689125
13,ET(旧),0.844176,0.19474,0.9150697114924342,0.07089371149243417,2.291e-05,56.225,13,19,32,29.731419167341365,-30.154787476594535
13,G-H,0.867514,0.201654,0.9150697114924342,0.047555711492434205,2.845e-05,45.642,13,21,34,30.301246333958694,-30.573298471279465
13,Smile,0.87687,0.203814,0.9150697114924342,0.038199711492434174,2.549e-05,51.292,13,19,32,29.95765456266563,-30.371881137165246
14,ET(旧),0.833879,0.169448,0.9108386711852199,0.07695967118521985,3.186e-05,47.146,27,30,57,16.253899307077273,-16.95885024203596
14,G-H,0.841618,0.172959,0.9108386711852199,0.0692206711852199,3.329e-05,44.773,27,30,57,17.236078891979073,-16.108619370325872
14,Smile,0.841884,0.172924,0.9108386711852199,0.06895467118521992,3.326e-05,44.822,27,30,57,16.04379612326955,-16.778690468130794
15,ET(旧),0.797993,0.168037,0.873633240643173,0.0756402406431731,2.433e-05,62.646,16,22,38,28.892585551826055,-28.198655533392728
15,G-H,0.819533,0.174168,0.873633240643173,0.05410024064317309,3.096e-05,52.472,15,22,37,28.346417522324618,-27.053513276084132
15,Smile,0.834423,0.17715,0.873633240643173,0.03921024064317302,2.681e-05,58.835,15,22,37,28.548112014024376,-27.373382257294907
16,ET(旧),0.788402,0.178692,0.8753562712681466,0.08695427126814659,2.016e-05,71.408,30,28,58,16.627375580748087,-14.425074233717842
16,G-H,0.802913,0.184195,0.8753562712681466,0.07244327126814665,2.353e-05,66.629,30,28,58,17.637146826570692,-13.055843221041103
16,Smile,0.813448,0.186422,0.8753562712681466,0.061908271268146686,2.066e-05,70.698,30,28,58,15.907818356846489,-14.010826083203773
17,ET(旧),0.836406,0.171786,0.9067849088160695,0.07037890881606956,2.442e-05,53.479,22,27,49,24.059176270105183,-23.57214153932568
