date,S0,r,q,n,a_nq,s_nq,imp_nq,a_q,s_q,imp_q
2018-04-17,2.626,0.042285484,-0.02476828517071426,106,1.0,0.260014378966298,-6.233970643304285e-09,1.0,0.26339148657329614,1.1247028393620883e-08
2018-04-18,2.643,0.044781935,0.008398563243763693,104,1.0,0.2607791066706341,1.8810042102148806e-08,1.0,0.25963530255830847,2.154286463731327e-08
2018-04-19,2.676,0.046555806,0.03810751697197071,80,1.0,0.25419164368358904,3.1061995136457427e-09,1.0,0.2497285153662347,2.0270578458382088e-08
2018-04-20,2.637,0.043310323,-0.016060628577174055,80,1.0,0.2408002711832523,7.707942339720441e-10,1.0,0.24297433667816215,1.0099168196000212e-09
2018-04-23,2.658,0.048971613,0.04724398836062156,80,1.0,0.24695268668045856,1.4086004373091853e-10,1.0,0.24034362219535982,-1.641197168952049e-09
2018-04-24,2.718,0.048629677,0.07343573108655208,80,1.0,0.24449459664746773,7.46496698837007e-11,1.0,0.23778648907900796,6.310167992691274e-10
2018-04-25,2.693,0.043894516,-0.017241197138378288,80,1.0,0.23621110405856596,4.4445752301876054e-10,1.0,0.2376373911993937,7.799739669955627e-10
2018-04-26,2.655,0.046774194,-0.044064337270969194,80,1.0,0.23193417191505422,4.255531256822627e-11,1.0,0.23631871188545114,6.600636424446203e-10
2018-04-27,2.642,0.04422,-0.024690871726511212,80,1.0,0.23555423729121677,3.8966936032393153e-10,1.0,0.2385521705262365,1.6423410781502575e-09
2018-05-02,2.646,0.040088333,-0.019416246822812296,80,1.0,0.24931108440794097,1.9306240648741745e-08,1.0,0.2516769850393758,-3.260131155088929e-06
2018-05-03,2.654,0.036594,-0.00013233542768947192,80,1.0,0.25552016651490705,-4.106140750836243e-07,1.0,0.25553678276482955,3.175163206480933e-08
2018-05-04,2.634,0.036702,-0.03663186770476206,80,1.0,0.25369212673977026,-3.253414045158477e-07,1.0,0.25821677353458194,5.191625304916345e-08
2018-05-07,2.674,0.03918,0.043578292972341115,80,1.0,0.2673876624321565,1.7652831315611177e-09,1.0,0.262318527543539,-1.0235321992731595e-07
2018-05-08,2.714,0.041550667,0.053594709839119264,80,1.0,0.25375547796138564,1.516593682041288e-09,1.0,0.24933135626488367,9.800083117818726e-09
2018-05-09,2.711,0.035614,0.0013051545858863305,80,1.0,0.2412293243757545,2.714961042205938e-09,1.0,0.24113427753327404,2.9255574937140275e-09
2018-05-10,2.723,0.035897333,0.0073973149230753335,80,1.0,0.23018959754263046,3.9302024969082163e-10,1.0,0.22973418980836863,3.1806646403417765e-10
2018-05-11,2.716,0.038250667,-0.025010981079885294,79,1.0,0.2180208425968886,-7.846125751698036e-08,1.0,0.2194324595760554,2.7228395924844895e-08
2018-05-14,2.745,0.039052,0.029881333110186474,78,1.0,0.21181728478177325,3.9680172297437546e-07,1.0,0.2104628434032202,2.672598454108858e-07
2018-05-15,2.74,0.040918,-0.01696209655740456,76,1.0,0.19435098287416627,2.806074864835965e-07,1.0,0.1949288761500611,4.636172053314096e-07
