type,K,T,T_days,expiry,bid,ask,V_market,volume,open_interest,iv,S0,r,V_model,mispricing,mispricing_pct,abs_mispricing
put,705.0,0.0986301369863013,36,2026-09-11,1.82,1.85,1.835,21,471,0.2116167706298827,775.6300048828125,0.043,0.46038504404292624,1.3746149559570737,74.91089678240184,1.3746149559570737
put,717.0,0.0986301369863013,36,2026-09-11,2.36,2.41,2.385,6,155,0.1959614096069336,775.6300048828125,0.043,1.0114677638252374,1.3735322361747624,57.590450154078084,1.3735322361747624
put,710.0,0.0986301369863013,36,2026-09-11,2.0,2.03,2.015,12,205,0.2042926251220702,775.6300048828125,0.043,0.6464087480993399,1.3685912519006602,67.92016138464815,1.3685912519006602
put,715.0,0.0986301369863013,36,2026-09-11,2.24,2.28,2.26,4,274,0.1980060668945312,775.6300048828125,0.043,0.8928568235563787,1.367143176443621,60.49306090458501,1.367143176443621
put,706.0,0.0986301369863013,36,2026-09-11,1.84,1.88,1.86,27,25,0.2100298724365234,775.6300048828125,0.043,0.4933764534068459,1.3666235465931542,73.4743842254384,1.3666235465931542
put,704.0,0.0986301369863013,36,2026-09-11,1.78,1.81,1.795,20,39,0.2128679788208007,775.6300048828125,0.043,0.42930928165634086,1.365690718343659,76.08304837569132,1.365690718343659
put,703.0,0.0986301369863013,36,2026-09-11,1.74,1.78,1.76,3,265,0.2144243597412109,775.6300048828125,0.043,0.40005874773509476,1.3599412522649053,77.26938933323325,1.3599412522649053
put,719.0,0.0986301369863013,36,2026-09-11,2.48,2.52,2.5,14,33,0.1933064068603515,775.6300048828125,0.043,1.1429728860320694,1.3570271139679306,54.28108455871723,1.3570271139679306
put,702.0,0.0986301369863013,36,2026-09-11,1.71,1.74,1.725,162,306,0.2156145333862305,775.6300048828125,0.043,0.3725459291607791,1.352454070839221,78.40313454140411,1.352454070839221
call,900.0,0.2904109589041095,106,2026-11-20,0.88,0.91,0.895,2705,1984,0.1496667065429687,775.6300048828125,0.043,2.247253131508174,-1.3522531315081738,-151.08973536404176,1.3522531315081738
put,723.0,0.0986301369863013,36,2026-09-11,2.78,2.82,2.8,4,49,0.1891560577392578,775.6300048828125,0.043,1.448782307290223,1.3512176927097768,48.25777473963489,1.3512176927097768
put,718.0,0.0986301369863013,36,2026-09-11,2.41,2.44,2.425,1,225,0.1940998559570312,775.6300048828125,0.043,1.0755456916899604,1.3494543083100394,55.64760034268205,1.3494543083100394
put,793.0,0.1945205479452054,71,2026-10-16,26.39,28.96,27.675,4,0,0.1365595378112793,775.6300048828125,0.043,29.023659221147682,-1.348659221147681,-4.873204051120799,1.348659221147681
put,721.0,0.0986301369863013,36,2026-09-11,2.61,2.66,2.635,4,24,0.1911091632080078,775.6300048828125,0.043,1.2883922183553267,1.346607781644673,51.10465964495914,1.346607781644673
call,925.0,0.3671232876712328,134,2026-12-18,0.82,0.85,0.835,8,1142,0.1512536047363281,775.6300048828125,0.043,2.1769995675856464,-1.3419995675856464,-160.71851108810137,1.3419995675856464
call,777.0,0.0986301369863013,36,2026-09-11,15.98,16.14,16.060000000000002,126,156,0.1678550012207031,775.6300048828125,0.043,17.397312297521182,-1.33731229752118,-8.326975700630012,1.33731229752118
put,815.0,0.1945205479452054,71,2026-10-16,40.37,43.67,42.02,6,2,0.1230403858947754,775.6300048828125,0.043,43.35443497470408,-1.3344349747040738,-3.175713885540395,1.3344349747040738
put,720.0,0.0986301369863013,36,2026-09-11,2.52,2.57,2.545,9,419,0.1917805432128906,775.6300048828125,0.043,1.2138780613671116,1.3311219386328883,52.3034160563021,1.3311219386328883
put,700.0,0.0986301369863013,36,2026-09-11,1.63,1.66,1.645,6,558,0.2179643634033203,775.6300048828125,0.043,0.32239784210771916,1.3226021578922809,80.40134698433317,1.3226021578922809
put,701.0,0.0986301369863013,36,2026-09-11,1.65,1.68,1.665,23,106,0.2161943615722656,775.6300048828125,0.043,0.34668620736008293,1.318313792639917,79.17800556395899,1.318313792639917
call,735.0,0.3671232876712328,134,2026-12-18,63.82,65.82,64.82,8,4050,0.2306824369049072,775.6300048828125,0.043,63.50544796760812,1.3145520323918731,2.0280037525329733,1.3145520323918731
put,722.0,0.0986301369863013,36,2026-09-11,2.66,2.7,2.68,1,199,0.1893391613769531,775.6300048828125,0.043,1.3666485444833398,1.3133514555166603,49.005651325248515,1.3133514555166603
put,699.0,0.0986301369863013,36,2026-09-11,1.59,1.63,1.61,33,194,0.2193681579589843,775.6300048828125,0.043,0.2996019502416978,1.3103980497583023,81.39118321480137,1.3103980497583023
put,745.0,0.1945205479452054,71,2026-10-16,10.02,10.08,10.05,50,6046,0.1632621516418457,775.6300048828125,0.043,8.744459833506511,1.3055401664934898,12.990449417845667,1.3055401664934898
call,770.0,0.2904109589041095,106,2026-11-20,34.69,35.05,34.87,6,4713,0.1915974395751953,775.6300048828125,0.043,36.175051030543045,-1.3050510305430478,-3.742618384121158,1.3050510305430478
call,702.0,0.1945205479452054,71,2026-10-16,81.16,84.0,82.58,1,74,0.2706676937866211,775.6300048828125,0.043,81.28111830553894,1.298881694461059,1.5728768399867512,1.298881694461059
put,778.0,0.1945205479452054,71,2026-10-16,19.69,19.78,19.735,3,4,0.1344385873413086,775.6300048828125,0.043,21.027875599060508,-1.2928755990605083,-6.551181145480153,1.2928755990605083
